Item,$AQ_​INDEX,$ROCK_​COMP,$POVOMULT,$PERM_​2,$PERM_​1,$KRWMAX,PWS1,PWS2,PWS3,PWS4,PWS5,OIL_CUM,WATER_CUM,WC1,WC2,PWFEND
BU_MACH5_192,0.393913804,6.89E-06,0.839075704,0.049538178,0.191338321,0.640102176,1338.950928,483.0307922,542.1425781,1180.318237,9.16E+02,1953384,4.66E+06,1.15E-05,0.903090298,751.8026733
BU_MACH5_193,0.396924296,1.32E-06,0.445128233,0.053443479,0.142709413,0.667139836,931.4120483,98.69264984,132.1772461,538.5596313,1.09E+03,1879769.75,4718295.5,0.432106942,0.901602089,909.9711304
BU_MACH5_194,0.347114426,9.34E-06,0.129841755,0.052750323,0.132303439,0.609216834,986.5443115,90.12036896,95.46626282,583.8029785,1.20E+03,1932346.125,4349376,0.178755373,0.898025572,1144.44104
BU_MACH5_195,0.304622065,7.74E-06,0.827798334,0.065458344,0.180944132,0.457813959,1328.963501,437.5936279,449.1088867,1117.270386,1.91E+03,1953384,3.47E+06,9.30E-06,0.889508963,1901.988281
BU_MACH5_196,0.465036482,7.42E-06,0.445704263,0.067938199,0.167979671,0.577844447,1288.675903,335.330719,442.6746216,1010.023926,1.49E+03,1953384,4134589.75,0.14383921,0.894352138,1456.924072
BU_MACH5_197,0.664667769,2.68E-06,0.484256355,0.06447822,0.173662628,0.511869167,1355.953491,227.9603729,570.6976318,992.381897,1.46E+03,1950196.75,4498687,0.438553959,0.89553225,1302.16687
BU_MACH5_198,0.305689822,7.08E-06,0.344400745,0.067685377,0.150877932,0.494201697,1052.385986,106.7241669,106.1108017,651.7676392,1.88E+03,1950236,3.65E+06,1.15E-05,0.890551984,1927.151733
BU_MACH5_199,0.492856569,7.63E-06,0.181336247,0.048064398,0.183640795,0.485217811,1162.944458,185.6999207,318.0030518,1007.612244,1.09E+03,1943451.25,4760543,0.284691751,0.902068555,829.4124756
BU_MACH5_200,0.596316269,7.96E-06,0.976713657,0.056339457,0.173142047,0.48392645,1491.979126,833.4758301,913.2095947,1435.364136,1.67E+03,1953384,3.91E+06,7.69E-06,0.89245069,1489.9552
BU_MACH5_201,0.384881497,4.38E-06,0.296160503,0.045537051,0.151520162,0.610634663,991.8895264,106.8623886,134.0209198,738.177124,8.62E+02,1908290.25,4821222.5,0.343600005,0.904046476,639.1324463
